client_id,samples,positives,negatives,positive_ratio,negative_ratio,label_entropy
170,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
171,11,0,11,0.0,1.0,0.0
172,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
173,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
174,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
175,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
176,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
177,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
178,11,0,11,0.0,1.0,0.0
179,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
180,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
181,11,0,11,0.0,1.0,0.0
182,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
183,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
184,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
185,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
186,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
187,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
188,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
189,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
190,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
191,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
192,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
193,11,0,11,0.0,1.0,0.0
194,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
195,11,0,11,0.0,1.0,0.0
