strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
SCAFFOLD,16,1,80,1,80,0.39848772160878804,80,0.99,0.39450284439270017,54,0.3945403599463613,26,70,80,11,11,True,,0.3978718082298384,0.00011370003395792003,0.0011370003395791972,0.00037868714589502734,0.39848772160878804
SCAFFOLD,16,2,80,1,80,0.39149762639446745,80,0.99,0.3875826501305228,56,0.38775491496324777,24,70,80,11,11,True,,0.39088654259260985,0.00012966500945143134,0.001296650094514351,0.0004307972934214207,0.39149762639446745
SCAFFOLD,16,3,80,1,80,0.4038262002757643,80,0.99,0.3997879382730067,47,0.3999638142314238,33,70,80,11,11,True,,0.4035162365357689,5.8977523333872854e-05,0.0005897752333387518,0.00020010104054900998,0.4038262002757643
SCAFFOLD,16,4,80,1,80,0.40493351021284407,79,0.99,0.4008841751107156,38,0.40099557246206846,42,70,80,11,11,True,,0.4047117642098079,4.7878758787783546e-05,0.00047878758787783804,0.000160981458108935,0.40492292105471406
SCAFFOLD,16,5,80,1,80,0.3881361898533634,80,0.99,0.38425482795482974,46,0.3844021820160421,34,70,80,11,11,True,,0.38773765062733107,8.98958140069038e-05,0.0008989581400690172,0.0003000453731059387,0.3881361898533634
SCAFFOLD,32,1,80,1,80,0.3896929734392921,80,0.99,0.38579604370489917,55,0.385925979213836,25,70,80,11,11,True,,0.38907550084469,0.00012918900386246643,0.0012918900386246768,0.000428709058845539,0.3896929734392921
SCAFFOLD,32,2,80,1,80,0.3877588731928007,80,0.99,0.3838812844608727,59,0.3840266850634525,21,70,80,11,11,True,,0.3870112605141175,0.00015509496789116537,0.0015509496789116173,0.0005146931238010707,0.3877588731928007
SCAFFOLD,32,3,80,1,80,0.3893081040903695,80,0.99,0.3854150230494658,54,0.38563641717010877,26,70,80,11,11,True,,0.3888656741354254,9.602803941024305e-05,0.0009602803941024529,0.0003193864812798955,0.3893081040903695
SCAFFOLD,32,4,80,1,80,0.38364113524934634,80,0.99,0.3798047238968529,62,0.3799490769211892,18,70,80,11,11,True,,0.38276093538637423,0.00018899702436966858,0.0018899702436966925,0.000627679298877768,0.38364113524934634
SCAFFOLD,32,5,80,1,80,0.3926827122792544,80,0.99,0.38875588515646187,47,0.38886061323405163,33,70,80,11,11,True,,0.39225152201194874,8.614146653483904e-05,0.0008614146653483923,0.0002858074409091043,0.3926827122792544
SCAFFOLD,64,1,80,1,80,0.3910504742856794,80,0.99,0.3871399695428226,58,0.38716312550105136,22,70,80,11,11,True,,0.3903593695881067,0.00014441375902930626,0.0014441375902930487,0.0004796718877469442,0.3910504742856794
SCAFFOLD,64,2,80,1,80,0.3943412311954632,80,0.99,0.3903978188835086,55,0.39054149894850765,25,70,80,11,11,True,,0.3936644834873478,0.00013694090955212248,0.0013694090955212457,0.0004543630610742178,0.3943412311954632
SCAFFOLD,64,3,80,1,80,0.389956353935263,80,0.99,0.3860567903959104,66,0.38618682900374995,14,70,80,11,11,True,,0.3887023083428487,0.00025932673747786745,0.0025932673747787183,0.0008607163962320194,0.389956353935263
SCAFFOLD,64,4,80,1,80,0.39105338370625947,80,0.99,0.3871428498691969,62,0.3872712282359056,18,70,80,11,11,True,,0.39016091237814654,0.000187298822360403,0.001872988223604044,0.0006215395638946715,0.39105338370625947
SCAFFOLD,64,5,80,1,80,0.3916074993504666,80,0.99,0.38769142435696197,62,0.3879075388717127,18,70,80,11,11,True,,0.39069640838098113,0.00018794029522888053,0.0018794029522888334,0.0006234568546852692,0.3916074993504666
